Titre,Kilométrage (km),Lieu,Lien,Date complète (jour/mois/année),Prix (DH),Valeur taxable,Prix Maroc,Marge brute,Rentabilité %
yamaha MT 09,10.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/gs502d5.html,2024-05-29,104102,39897,132421,-11578,-8.04
yamaha MT 09,7980.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/y3dfyzs.html,2022-05-29,87350,23938,83177,-28111,-25.26
yamaha MT 09,14300.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/urvft3y.html,2022-05-29,83186,23938,80014,-27110,-25.31
yamaha MT 09 SP,31000.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/yamaha-mt-09-sp-2023/lxd8an8.html,2023-05-29,93701,34058,100871,-26888,-21.05
yamaha MT 09,17712.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/7jlbt09.html,2023-05-29,98803,27929,100194,-26538,-20.94
yamaha MT 09,2982.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/pgf7k12.html,2022-05-23,88391,23938,83997,-28332,-25.22
yamaha MT 09,5500.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/jyjr2cf.html,2022-05-22,91515,23938,86311,-29142,-25.24
yamaha MT 09,,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/7jl9mp9.html,2025-05-22,114513,39897,169851,15441,10.0
yamaha MT 09,4111.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/8vu6i14.html,2024-05-22,93597,31918,115376,-10139,-8.08
yamaha MT 09,16000.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/olkgces.html,2022-05-15,104008,23938,95550,-32396,-25.32
yamaha MT 09,10.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/2xna9ib.html,2025-05-15,114420,39897,169749,15432,10.0
yamaha MT 09,13800.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/dfjw2oz.html,2023-03-27,107132,27929,106821,-28240,-20.91
yamaha MT 09,8500.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-2022-con-repro/4vy5xtt.html,2022-03-27,94742,23938,88697,-29983,-25.26
yamaha MT 09,20145.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/5djy6n4.html,2022-01-30,82249,23938,79268,-26919,-25.35
