Marque,Modèle
CF MOTO,450 SR-S (> 80 CC)
CF MOTO,650 MT (> 80 CC)
CF MOTO,650 NK (> 80 CC)
CF MOTO,675 SR-R (> 80 CC)
CF MOTO,700 CL-X HERITAGE (> 80 CC)
CF MOTO,700 MT (> 80 CC)
CF MOTO,800 MT /SPORT/ TOURING/ EXPLORE (> 80 CC)
CHANGJIANG,650 DYNASTY/ PEKIN EXPRESS (> 80 CC)
CPI,Ara;n GP 50 (<= 50 CC)
CPI,Bravo (<= 50 CC)
CPI,Enduro 50 (<= 50 CC)
CPI,GTR 50 (<= 50 CC)
CPI,Oliver (<= 50 CC)
CPI,Supermotard 50 (<= 50 CC)
CYCLONE,Arizona 125 (> 80 CC)
CYCLONE,RX1 125 (> 80 CC)
CYCLONE,RX1 Grand Raid 125 (> 80 CC)
CYCLONE,RX3S 400 (> 80 CC)
CYCLONE,Z 2 125 (> 80 CC)
DAELIM,A-four / Bonita / S-Five (<= 50 CC)
DAELIM,Cordi (<= 50 CC)
DAELIM,S4 (<= 50 CC)
DAELIM,125 Daystar /Daystar FI (> 80 CC)
DAELIM,125 DELFINO/SU (> 80 CC)
DAELIM,125 Roadwin (> 80 CC)
DAELIM,125 S3 Touring (> 80 CC)
DAELIM,125 Steezer /S (> 80 CC)
DAELIM,250 Daystar/Road sport (> 80 CC)
DERBI,Atlantis 2T 50 / Boulvard 50 (<= 50 CC)
DERBI,GPR 50 / Nude (<= 50 CC)
DERBI,Senda DRD Pro R / Pro SM (<= 50 CC)
DERBI,Senda DRD X- treme SM / R / SM Racing (<= 50 CC)
DERBI,125 Senda DRD R/SM (> 80 CC)
DUCATI,1158 DIAVEL V4/ DIAVEL V4 THRILLING (> 80 CC)
DUCATI,1200 Diavel Carbone/X/XS/DARK (> 80 CC)
DUCATI,1200 Monster /R/S (> 80 CC)
DUCATI,1200 Multistrada Enduro (> 80 CC)
DUCATI,1260 DIAVEL LAMBORGHINI (> 80 CC)
DUCATI,1260MULTISTRADA/S/TOURING/GRANDTOUR/DIAVEL/XDIAVEL (> 80 CC)
DUCATI,1299 Panigale R/S (> 80 CC)
DUCATI,400 Scrambler Sixty2 (> 80 CC)
DUCATI,797 Monster/796 (> 80 CC)
DUCATI,800 Fulltrotlle/Urban/icon (> 80 CC)
DUCATI,800 Scrambler Café racer (> 80 CC)
DUCATI,800 SCRAMBLER ICON (> 80 CC)
DUCATI,939 Hypermotard (> 80 CC)
DUCATI,939 Hypermotard SP (> 80 CC)
DUCATI,939 SuperSport/S (> 80 CC)
DUCATI,950 DESERT X RALLY (> 80 CC)
DUCATI,950 DESERT X/ DESERT X MATT STAR (> 80 CC)
DUCATI,950 Hypermotard SP (> 80 CC)
DUCATI,950 Multistrada S (> 80 CC)
DUCATI,950 Multistrada/TOURING (> 80 CC)
DUCATI,959 Panigale/ 955 (> 80 CC)
DUCATI,Monster 1200 /S (> 80 CC)
DUCATI,Monster 821 /DARK 820cc (> 80 CC)
DUCATI,Multistrada 1200 Enduro/PRO (> 80 CC)
DUCATI,MULTISTRADA V4S 1160 (> 80 CC)
DUCATI,Panigale V4 1100cc (> 80 CC)
DUCATI,Panigale V4 R 1100cc (> 80 CC)
DUCATI,Panigale V4 S 1100cc (> 80 CC)
DUCATI,Scrambler 1100/S/SPORT (> 80 CC)
DUCATI,Scrambler Dark 800 (> 80 CC)
DUCATI,Streetfighter V4/S 1100cc (> 80 CC)
DUCATI,Supersport 937/S 900cc (> 80 CC)
EUROCKA,Matador 50 (<= 50 CC)
FANTIC,250 XXF (> 80 CC)
FANTIC,450 XEF ENDURO (> 80 CC)
FANTIC / CABALLERO,125 FLAT–TRACK (> 80 CC)
FANTIC / CABALLERO,500 EXPLORER (> 80 CC)
FANTIC / CABALLERO,500 RALLY (> 80 CC)
FANTIC / CABALLERO,500 SCRAMBLER (> 80 CC)
FANTIC / CABALLERO,500 SCRAMBLER DELUXE (> 80 CC)
FANTIC / CABALLERO,700 SCRAMBLER (> 80 CC)
FICE - SANYA,FICE 50 (<= 50 CC)
GAS GAS,125 MC (> 80 CC)
GAS GAS,125 TXT Racing (> 80 CC)
GAS GAS,250 EC Racing (> 80 CC)
GAS GAS,250 MC-F (> 80 CC)
GAS GAS,250 TXT Racing (> 80 CC)
GAS GAS,280 TXT Racing (> 80 CC)
GAS GAS,300 EC F Racing (> 80 CC)
GAS GAS,300 TXT Racing (> 80 CC)
GAS GAS,350 EC F (> 80 CC)
GAS GAS,450 EC F (> 80 CC)
GENERIC,Crakker (<= 50 CC)
GENERIC,Epico (<= 50 CC)
GENERIC,IDEO 50 / ROC / EXPLORER / RACE GT 50 (<= 50 CC)
GENERIC,Onyx 50 / Toxic 50 / Xor 50 (<= 50 CC)
GENERIC,Trigger X / SM (<= 50 CC)
GENERIC,Vendetta (<= 50 CC)
GILERA,DNA 50 (<= 50 CC)
GILERA,RCR Enduro (<= 50 CC)
GILERA,Runner SP 50 (<= 50 CC)
GILERA,SMT 50 Racing / Supermotard (<= 50 CC)
GILERA,Stalker (<= 50 CC)
GOES,G50 RV / Slam (<= 50 CC)
GOES,Light 2 (<= 50 CC)
GOWINN,Dolce Vita PX 50 (<= 50 CC)
GT UNION,125 STRIKER (> 80 CC)
GT UNION,125CC PX 55 CROSS-CONCEPT (> 80 CC)
GTS,TOSCANA (<= 50 CC)
GUNSHOT,150MX-1 (> 80 CC)
GUNSHOT,250MX-3 (> 80 CC)
HARLEY DAVIDSON,Softail Deluxe/Fat boy/Heritage 1584cc (> 80 CC)
HARLEY DAVIDSON,1200 SPORTSTER/SUPER/XL/T/C/X/CX/FORTY EIGHT (> 80 CC)
HARLEY DAVIDSON,1250 PAN AMERICA/RA 1250 S/SPECIAL (> 80 CC)
HARLEY DAVIDSON,1250 SPORTSTER S/ RH 1250 S (> 80 CC)
HARLEY DAVIDSON,1250 V-Rod Muscle (> 80 CC)
HARLEY DAVIDSON,1690 Dyna (> 80 CC)
HARLEY DAVIDSON,1690 Road Glide Spécial (> 80 CC)
HARLEY DAVIDSON,1690 Road King (> 80 CC)
HARLEY DAVIDSON,1690 Triglide (trike) (> 80 CC)
HARLEY DAVIDSON,1690 Ultra Classique /Ultra limited (> 80 CC)
HARLEY DAVIDSON,1745 FXLR LOW RIDER (> 80 CC)
HARLEY DAVIDSON,1745 ROAD GLIDE/ROADKING/CLASSIC/STREETGLIDE/FLHRC (> 80 CC)
HARLEY DAVIDSON,1745 SOFTAIL STANDARD 107 (FXST) (> 80 CC)
HARLEY DAVIDSON,1745 STREET GLIDE SPECIAL FLHXS/TOURING ST GL FLHX (> 80 CC)
HARLEY DAVIDSON,1745 Tri Glide (Trike) (> 80 CC)
HARLEY DAVIDSON,1745 Ultra Limited (> 80 CC)
HARLEY DAVIDSON,1800 Breakout (> 80 CC)
HARLEY DAVIDSON,1800 Dyna Low Rider S (> 80 CC)
HARLEY DAVIDSON,1800 Electra Ultra Limited CVO (> 80 CC)
HARLEY DAVIDSON,1800 Road glide ultra CVO/street glide CVO (> 80 CC)
HARLEY DAVIDSON,1800 Softail Deluxe CVO (> 80 CC)
HARLEY DAVIDSON,1800 Softail Fat Boy S /Slim (> 80 CC)
HARLEY DAVIDSON,1800 Street Breakout CVO (> 80 CC)
HARLEY DAVIDSON,1850 Milwaukee Eight CVO (> 80 CC)
HARLEY DAVIDSON,1868 FLHP / POLICE ROAD KING (> 80 CC)
HARLEY DAVIDSON,1868 FLTRK (> 80 CC)
HARLEY DAVIDSON,1868 LOW RIDER S (FXLRS) 114 (> 80 CC)
HARLEY DAVIDSON,1868 ROAD KING SPECIAL / FLHRXS (> 80 CC)
HARLEY DAVIDSON,1868 STREET BOB CUSTOM 114 (FXBBS) (> 80 CC)
HARLEY DAVIDSON,1870 FLHTCUTG/TRI GLIDE (> 80 CC)
HARLEY DAVIDSON,1870CC FLHTK/ ULTRA LIMITED (> 80 CC)
HARLEY DAVIDSON,1870CC STREET GLIDE SPECIAL (FLHXS) (> 80 CC)
